@relation dataemail
@attribute text string
@attribute @@class@@ {JOB,PROMO,INBOX}
@data
'Good bye to a vary happening year.2014 has been a very happening year .It had filled our lives with good luck and prosperity.You moved to the city of in which you wanted to work.Hope a great and a prosperous 2015.',INBOX
'Snowfall in Dehra Dun.I am feeling very happy to witness snowfall this winter and that too in our city.The whole place has turned white and is freezing cold here but there is no stopping of making snow balls and ice men.Every one is happy and playing outdoors in chilling wind and snow.',INBOX
'Facets developer for a US project.Perform analysis, design, coding, testing and implementation of quality custom solutions within the software development life cycle in Healthcare domain. Design and develop moderate to complex software applications to meet the customers business needs. Validation and gaining approval of technical and business requirements to ensure both feasibility and completeness of solutions. Estimate work efforts, delivery time lines, quality and quantity of resources required to successfully complete software development activities. Develop software development project plans incorporating all possible project variables. Conduct periodic status checks with the development team to assess progress against plan and communicate progress to supervisors as necessary.',JOB
'Hiring for Java Professionals.Work for clients to provide actionable intelligence to support security decisions by collating, analysing, correlating and visualising security events and logs from diverse IT systems and applications. Aujas provides services to design and deploy security intelligence solutions in addition to helping clients in optimising and enhancing existing deployments.Position,Senior Consultant JavaWe are looking for a Java professionals having 4+ years of experience in Core Java and J2ee.',JOB
'New year sale Amazon Promo Code minimum 50% off.Save Up to 70% Off Year-End Deals.Stock up on tees, socks, underwear, and more. Select styles. Get 40% off on the the marked price.Sale is here.More exciting offers awaits you on oue website.Flat 505 off on electronic items.Hurry.',PROMO
'Flipcart offer zone, Hot deals and sale discounts.We are offering you hot deals in electronic segments as much as 70% off.Flat 30% off on clothing sections for both men and women. Healthcare products and beauty products range has upto 15% off.Discounts valid for 2 days.Happy Shopping.',PROMO
'Save up to 70% on restaurants,beauty, travel, activities & more.Going somewhere we make your travel easy and cheap. with huge discounts on.In India trips upto 50% off in famous hotels.International trips, upto 30% off airline fare and hotels worldwide.',PROMO
'Cold windy evenings. The temperature here have dropped to negative.It is very cold here we cannot sit without turning on the Heaters. Tap water is very cold have to depend upon the Geysers.Electricity fault today made the condition worse.',INBOX
'No Electricity for 2 days. It is chilling cold here and power supply has been snapped off. We are facing a difficult time due to this. Dad brought coal this morning to lit fire only after that did we feel better.Hoping that lines get reconstructed fast.',INBOX
'Happiness in bounty.I want to tell you that today power supply was restored and guess what we are going for a trip to Rajasthan and after that my birthday celebrations begins. I very happening week ahead',INBOX
'Wordpress developer with a skill of responsive web design.NPR Design is looking for a full time web designer/developer who could work with HTML5, CSS3, Wordpress, PHP and Magento.Must also be good at Wordpress and Magento theme customization.Minimum 6 months work experience in a digital agency or web design company is important.',JOB
